"response","V1","V2","V3","V4","V5","V6","V7","V8"
5,540,0,0,162,2.5,1040,676,28
5,540,0,0,162,2.5,1055,676,28
3,332.5,142.5,0,228,0,932,594,270
3,332.5,142.5,0,228,0,932,594,365
3,198.6,132.4,0,192,0,978.4,825.5,360
4,266,114,0,228,0,932,670,90
3,380,95,0,228,0,932,594,365
3,380,95,0,228,0,932,594,28
4,266,114,0,228,0,932,670,28
3,475,0,0,228,0,932,594,28
3,198.6,132.4,0,192,0,978.4,825.5,90
2,198.6,132.4,0,192,0,978.4,825.5,28
3,427.5,47.5,0,228,0,932,594,270
3,190,190,0,228,0,932,670,90
4,304,76,0,228,0,932,670,28
4,380,0,0,228,0,932,670,90
3,139.6,209.4,0,192,0,1047,806.9,90
4,342,38,0,228,0,932,670,365
3,380,95,0,228,0,932,594,90
3,475,0,0,228,0,932,594,180
3,427.5,47.5,0,228,0,932,594,180
2,139.6,209.4,0,192,0,1047,806.9,28
1,139.6,209.4,0,192,0,1047,806.9,3
3,139.6,209.4,0,192,0,1047,806.9,180
4,380,0,0,228,0,932,670,365
4,380,0,0,228,0,932,670,270
3,380,95,0,228,0,932,594,270
4,342,38,0,228,0,932,670,180
3,427.5,47.5,0,228,0,932,594,28
3,475,0,0,228,0,932,594,7
4,304,76,0,228,0,932,670,365
4,266,114,0,228,0,932,670,365
3,198.6,132.4,0,192,0,978.4,825.5,180
3,475,0,0,228,0,932,594,270
4,190,190,0,228,0,932,670,365
3,237.5,237.5,0,228,0,932,594,270
2,237.5,237.5,0,228,0,932,594,28
3,332.5,142.5,0,228,0,932,594,90
3,475,0,0,228,0,932,594,90
3,237.5,237.5,0,228,0,932,594,180
4,342,38,0,228,0,932,670,90
3,427.5,47.5,0,228,0,932,594,365
3,237.5,237.5,0,228,0,932,594,365
4,380,0,0,228,0,932,670,180
3,427.5,47.5,0,228,0,932,594,90
3,427.5,47.5,0,228,0,932,594,7
1,349,0,0,192,0,1047,806.9,3
3,380,95,0,228,0,932,594,180
2,237.5,237.5,0,228,0,932,594,7
2,380,95,0,228,0,932,594,7
3,332.5,142.5,0,228,0,932,594,180
4,190,190,0,228,0,932,670,180
2,237.5,237.5,0,228,0,932,594,90
4,304,76,0,228,0,932,670,90
1,139.6,209.4,0,192,0,1047,806.9,7
1,198.6,132.4,0,192,0,978.4,825.5,7
3,475,0,0,228,0,932,594,365
1,198.6,132.4,0,192,0,978.4,825.5,3
4,304,76,0,228,0,932,670,180
2,332.5,142.5,0,228,0,932,594,28
4,304,76,0,228,0,932,670,270
4,266,114,0,228,0,932,670,270
1,310,0,0,192,0,971,850.6,3
4,190,190,0,228,0,932,670,270
4,266,114,0,228,0,932,670,180
4,342,38,0,228,0,932,670,270
3,139.6,209.4,0,192,0,1047,806.9,360
2,332.5,142.5,0,228,0,932,594,7
3,190,190,0,228,0,932,670,28
5,485,0,0,146,0,1120,800,28
3,374,189.2,0,170.1,10.1,926.1,756.7,3
2,313.3,262.2,0,175.5,8.6,1046.9,611.8,3
2,425,106.3,0,153.5,16.5,852.1,887.1,3
3,425,106.3,0,151.4,18.6,936,803.7,3
2,375,93.8,0,126.6,23.4,852.1,992.6,3
3,475,118.8,0,181.1,8.9,852.1,781.5,3
3,469,117.2,0,137.8,32.2,852.1,840.5,3
2,388.6,97.1,0,157.9,12.1,852.1,925.7,3
3,531.3,0,0,141.8,28.2,852.1,893.7,3
2,318.8,212.5,0,155.7,14.3,852.1,880.4,3
3,401.8,94.7,0,147.4,11.4,946.8,852.1,3
3,362.6,189,0,164.9,11.6,944.7,755.8,3
2,323.7,282.8,0,183.8,10.3,942.7,659.9,3
2,379.5,151.2,0,153.9,15.9,1134.3,605,3
2,286.3,200.9,0,144.7,11.2,1004.6,803.7,3
3,439,177,0,186,11.1,884.9,707.9,3
3,389.9,189,0,145.9,22,944.7,755.8,3
2,337.9,189,0,174.9,9.5,944.7,755.8,3
4,374,189.2,0,170.1,10.1,926.1,756.7,7
3,313.3,262.2,0,175.5,8.6,1046.9,611.8,7
4,425,106.3,0,153.5,16.5,852.1,887.1,7
4,425,106.3,0,151.4,18.6,936,803.7,7
4,375,93.8,0,126.6,23.4,852.1,992.6,7
4,475,118.8,0,181.1,8.9,852.1,781.5,7
4,469,117.2,0,137.8,32.2,852.1,840.5,7
3,388.6,97.1,0,157.9,12.1,852.1,925.7,7
4,531.3,0,0,141.8,28.2,852.1,893.7,7
2,318.8,212.5,0,155.7,14.3,852.1,880.4,7
4,401.8,94.7,0,147.4,11.4,946.8,852.1,7
4,362.6,189,0,164.9,11.6,944.7,755.8,7
4,323.7,282.8,0,183.8,10.3,942.7,659.9,7
4,379.5,151.2,0,153.9,15.9,1134.3,605,7
3,286.3,200.9,0,144.7,11.2,1004.6,803.7,7
4,439,177,0,186,11.1,884.9,707.9,7
5,389.9,189,0,145.9,22,944.7,755.8,7
2,362.6,189,0,164.9,11.6,944.7,755.8,7
3,337.9,189,0,174.9,9.5,944.7,755.8,7
5,374,189.2,0,170.1,10.1,926.1,756.7,28
5,313.3,262.2,0,175.5,8.6,1046.9,611.8,28
5,425,106.3,0,153.5,16.5,852.1,887.1,28
5,425,106.3,0,151.4,18.6,936,803.7,28
4,375,93.8,0,126.6,23.4,852.1,992.6,28
5,475,118.8,0,181.1,8.9,852.1,781.5,28
5,469,117.2,0,137.8,32.2,852.1,840.5,28
4,388.6,97.1,0,157.9,12.1,852.1,925.7,28
4,531.3,0,0,141.8,28.2,852.1,893.7,28
4,318.8,212.5,0,155.7,14.3,852.1,880.4,28
5,401.8,94.7,0,147.4,11.4,946.8,852.1,28
5,362.6,189,0,164.9,11.6,944.7,755.8,28
5,323.7,282.8,0,183.8,10.3,942.7,659.9,28
4,379.5,151.2,0,153.9,15.9,1134.3,605,28
5,286.3,200.9,0,144.7,11.2,1004.6,803.7,28
5,439,177,0,186,11.1,884.9,707.9,28
5,389.9,189,0,145.9,22,944.7,755.8,28
4,337.9,189,0,174.9,9.5,944.7,755.8,28
5,374,189.2,0,170.1,10.1,926.1,756.7,56
5,313.3,262.2,0,175.5,8.6,1046.9,611.8,56
5,425,106.3,0,153.5,16.5,852.1,887.1,56
5,425,106.3,0,151.4,18.6,936,803.7,56
5,375,93.8,0,126.6,23.4,852.1,992.6,56
5,475,118.8,0,181.1,8.9,852.1,781.5,56
5,469,117.2,0,137.8,32.2,852.1,840.5,56
4,388.6,97.1,0,157.9,12.1,852.1,925.7,56
5,531.3,0,0,141.8,28.2,852.1,893.7,56
5,318.8,212.5,0,155.7,14.3,852.1,880.4,56
5,401.8,94.7,0,147.4,11.4,946.8,852.1,56
5,362.6,189,0,164.9,11.6,944.7,755.8,56
5,323.7,282.8,0,183.8,10.3,942.7,659.9,56
4,379.5,151.2,0,153.9,15.9,1134.3,605,56
5,286.3,200.9,0,144.7,11.2,1004.6,803.7,56
5,439,177,0,186,11.1,884.9,707.9,56
5,389.9,189,0,145.9,22,944.7,755.8,56
5,337.9,189,0,174.9,9.5,944.7,755.8,56
5,374,189.2,0,170.1,10.1,926.1,756.7,91
5,313.3,262.2,0,175.5,8.6,1046.9,611.8,91
5,425,106.3,0,153.5,16.5,852.1,887.1,91
5,425,106.3,0,151.4,18.6,936,803.7,91
5,375,93.8,0,126.6,23.4,852.1,992.6,91
5,475,118.8,0,181.1,8.9,852.1,781.5,91
5,469,117.2,0,137.8,32.2,852.1,840.5,91
5,388.6,97.1,0,157.9,12.1,852.1,925.7,91
5,531.3,0,0,141.8,28.2,852.1,893.7,91
5,318.8,212.5,0,155.7,14.3,852.1,880.4,91
5,401.8,94.7,0,147.4,11.4,946.8,852.1,91
5,362.6,189,0,164.9,11.6,944.7,755.8,91
4,379.5,151.2,0,153.9,15.9,1134.3,605,91
5,286.3,200.9,0,144.7,11.2,1004.6,803.7,91
5,439,177,0,186,11.1,884.9,707.9,91
5,389.9,189,0,145.9,22,944.7,755.8,91
5,337.9,189,0,174.9,9.5,944.7,755.8,91
1,222.4,0,96.7,189.3,4.5,967.1,870.3,3
2,222.4,0,96.7,189.3,4.5,967.1,870.3,14
2,222.4,0,96.7,189.3,4.5,967.1,870.3,28
2,222.4,0,96.7,189.3,4.5,967.1,870.3,56
3,222.4,0,96.7,189.3,4.5,967.1,870.3,100
1,233.8,0,94.6,197.9,4.6,947,852.2,3
2,233.8,0,94.6,197.9,4.6,947,852.2,14
2,233.8,0,94.6,197.9,4.6,947,852.2,28
2,233.8,0,94.6,197.9,4.6,947,852.2,56
3,233.8,0,94.6,197.9,4.6,947,852.2,100
1,194.7,0,100.5,165.6,7.5,1006.4,905.9,3
2,194.7,0,100.5,165.6,7.5,1006.4,905.9,14
2,194.7,0,100.5,165.6,7.5,1006.4,905.9,28
2,194.7,0,100.5,165.6,7.5,1006.4,905.9,56
3,194.7,0,100.5,165.6,7.5,1006.4,905.9,100
1,190.7,0,125.4,162.1,7.8,1090,804,3
2,190.7,0,125.4,162.1,7.8,1090,804,14
